questions,,,,,,,,,,,,,,,,,,,
Body Size,Body Weight,Eyes,Nose,Lips,Teeth,Skin,Hair,Appetite,Digestion,Thirst,Emotions,Mind,Intellect,Speech,Voice,Dreams,Season Preferred,Predicted Dosha,Actual Dosha
Slim,Low,"Small, Sunken, Dry","Long Pointed, Red Nose-Tip","Red, Inflamed","Stick Out, Big, Roomy, Thin Gums","Thin, Dry, Cold, Rough","Dry, Brown/Black","Irregular, Scanty","Slow, Forms Mucous",Sparse,"Anxiety, Fear, Uncertainty",Impatient,Accurate Response,"Clear, Sharp, Penetrating","Weak, Hoarse",Realistic,Winter,Vata,
Slim,Low,"Sharp, Bright, Sensitive to Light","Short Rounded, Button Nose","Dry, Cracked","Medium, Soft, Tender Gums","Smooth, Oily, Warm","Straight, Oily, Blonde","Strong, Unbearable","Quick, Causes Burning",Sparse,"Calmness, Patience, Contentment",Restless,Quick but Faulty Response,"Quiet, Slow, Monotonous",Strong Tone,Imaginative,Rainy,Vata,
Slim,Low,"Small, Sunken, Dry","Long Pointed, Red Nose-Tip","Red, Inflamed","Stick Out, Big, Roomy, Thin Gums","Thin, Dry, Cold, Rough","Dry, Brown/Black","Irregular, Scanty","Slow, Forms Mucous",Sparse,"Anger, Hate, Jealousy",Restless,"Slow, Exact","Rapid, Unclear, Talkative","Weak, Hoarse",Lack of dreams,Winter,Vata,
Slim,Low,"Sharp, Bright, Sensitive to Light","Short Rounded, Button Nose","Dry, Cracked","Stick Out, Big, Roomy, Thin Gums","Thin, Dry, Cold, Rough","Dry, Brown/Black","Irregular, Scanty","Irregular, Forms Gas",Changeable,"Calmness, Patience, Contentment",Impatient,Accurate Response,"Quiet, Slow, Monotonous","Deep, Good Tone",Realistic,Winter,Vata,
Slim,Low,"Small, Sunken, Dry","Uneven, Deviated Septum","Dry, Cracked","Stick Out, Big, Roomy, Thin Gums","Thin, Dry, Cold, Rough","Dry, Brown/Black","Irregular, Scanty","Irregular, Forms Gas",Changeable,"Anxiety, Fear, Uncertainty",Restless,Quick but Faulty Response,"Rapid, Unclear, Talkative","Weak, Hoarse",Imaginative,Summer,Vata,
Slim,Low,"Sharp, Bright, Sensitive to Light","Long Pointed, Red Nose-Tip","Red, Inflamed","Medium, Soft, Tender Gums","Smooth, Oily, Warm","Straight, Oily, Blonde","Strong, Unbearable","Quick, Causes Burning",Changeable,"Anger, Hate, Jealousy",Impatient,Accurate Response,"Clear, Sharp, Penetrating",Strong Tone,Lack of dreams,Summer,Vata,
Slim,Low,"Small, Sunken, Dry","Long Pointed, Red Nose-Tip","Dry, Cracked","Stick Out, Big, Roomy, Thin Gums","Thin, Dry, Cold, Rough","Dry, Brown/Black","Irregular, Scanty","Irregular, Forms Gas",Changeable,"Calmness, Patience, Contentment",Restlessness,"Slow, Exact","Clear, Slow, Monotonous","Deep, Good Tone",Imaginative,Summer,Vata,
Slim,Low,"Sharp, Bright, Sensitive to Light","Short Rounded, Button Nose","Smooth, Oily","Medium, Soft, Tender Gums","Smooth, Oily, Warm","Straight, Oily, Blonde","Strong, Unbearable","Slow, Forms Mucous",Sparse,"Anxiety, Fear, Uncertainty",Restless,Accurate Response,"Clear, Sharp, Penetrating",Strong Tone,Imaginative,Summer,Vata,
Slim,Low,"Small, Sunken, Dry","Short Rounded, Button Nose","Dry, Cracked","Stick Out, Big, Roomy, Thin Gums","Thin, Dry, Cold, Rough","Dry, Brown/Black","Irregular, Scanty","Irregular, Forms Gas",Surplus,"Calmness, Patience, Contentment",Restlessness,"Slow, Exact","Quiet, Slow, Monotonous","Deep, Good Tone",Imaginative,Summer,Vata,
Slim,Low,"Sharp, Bright, Sensitive to Light","Long Pointed, Red Nose-Tip","Red, Inflamed","Medium, Soft, Tender Gums","Smooth, Oily, Warm","Straight, Oily, Blonde","Strong, Unbearable","Quick, Causes Burning",Sparse,"Anxiety, Fear, Uncertainty",Restless,Quick but Faulty Response,"Rapid, Unclear, Talkative","Weak, Hoarse",Lack of dreams,Rainy,Vata,
Slim,Low,"Small, Sunken, Dry","Long Pointed, Red Nose-Tip","Red, Inflamed","Stick Out, Big, Roomy, Thin Gums","Thin, Dry, Cold, Rough","Dry, Brown/Black","Irregular, Scanty","Slow, Forms Mucous",Sparse,"Anger, Hate, Jealousy",Impatient,"Slow, Exact","Clear, Slow, Monotonous","Deep, Good Tone",Realistic,Winter,Vata,
Slim,Low,"Sharp, Bright, Sensitive to Light","Short Rounded, Button Nose","Dry, Cracked","Medium, Soft, Tender Gums","Smooth, Oily, Warm","Straight, Oily, Blonde","Strong, Unbearable","Quick, Causes Burning",Changeable,"Anger, Hate, Jealousy",Restlessness,Accurate Response,"Clear, Sharp, Penetrating",Strong Tone,Lack of dreams,Rainy,Vata,
Slim,Low,"Small, Sunken, Dry","Long Pointed, Red Nose-Tip","Red, Inflamed","Stick Out, Big, Roomy, Thin Gums","Thin, Dry, Cold, Rough","Dry, Brown/Black","Irregular, Scanty","Slow, Forms Mucous",Sparse,"Calmness, Patience, Contentment",Restlessness,Quick but Faulty Response,"Quiet, Slow, Monotonous","Weak, Hoarse",Realistic,Winter,Vata,
Slim,Low,"Sharp, Bright, Sensitive to Light","Short Rounded, Button Nose","Dry, Cracked","Medium, Soft, Tender Gums","Smooth, Oily, Warm","Straight, Oily, Blonde","Strong, Unbearable","Quick, Causes Burning",Changeable,"Anxiety, Fear, Uncertainty",Impatient,Quick but Faulty Response,"Rapid, Unclear, Talkative",Strong Tone,Lack of dreams,Summer,Vata,
Slim,Low,"Small, Sunken, Dry","Long Pointed, Red Nose-Tip","Red, Inflamed","Stick Out, Big, Roomy, Thin Gums","Thin, Dry, Cold, Rough","Dry, Brown/Black","Irregular, Scanty","Slow, Forms Mucous",Sparse,"Calmness, Patience, Contentment",Restlessness,Accurate Response,"Clear, Sharp, Penetrating","Deep, Good Tone",Imaginative,Rainy,Vata,
